,發生時間,死亡受傷人數,車種,經度,緯度
117,108年01月01日 05時12分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.637328,24.130176000000002
118,108年01月01日 05時19分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.14934,23.047038
119,108年01月01日 05時20分23秒,死亡0;受傷1,普通重型-機車,120.842249,21.9154
120,108年01月01日 05時29分52秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.22841000000001,22.998424
121,108年01月01日 05時30分39秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.208859,24.956910999999998
122,108年01月01日 05時38分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,120.332073,22.596253
123,108年01月01日 05時39分10秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,120.366675,23.364545
124,108年01月01日 05時50分00秒,死亡0;受傷1,營業用-大貨車;自用-小客車,120.558604,23.619854
125,108年01月01日 05時52分00秒,死亡0;受傷1,計程車-小客車;自用-小客車;自用-小客車;自用-小客車,120.683403,24.103398000000002
126,108年01月01日 05時56分00秒,死亡0;受傷1,普通重型-機車,120.53145400000001,22.540549
127,108年01月01日 05時57分02秒,死亡0;受傷2,自用-小客車;乘客-人;乘客-人,120.787908,24.461842
128,108年01月01日 05時58分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.650066,24.212628
129,108年01月01日 06時00分00秒,死亡0;受傷1,普通重型-機車,120.396992,22.614898
130,108年01月01日 06時08分00秒,死亡0;受傷2,行人-人;普通重型-機車,121.50755,25.048491000000002
131,108年01月01日 06時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.393368,22.556757
132,108年01月01日 06時15分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.567355,24.981191
133,108年01月01日 06時19分00秒,死亡0;受傷1,租賃車-小客車;行人-人,121.507623,25.012143
134,108年01月01日 06時25分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.678891,24.187751000000002
135,108年01月01日 06時30分00秒,死亡0;受傷1,大型重型2(250-550C.C.)-機車,120.396992,22.614898
136,108年01月01日 06時38分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.481816,22.652803
137,108年01月01日 06時39分00秒,死亡0;受傷1,自用-小客車,121.62397,24.956483
138,108年01月01日 06時40分00秒,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527823,25.060278
139,108年01月01日 06時42分33秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.307077,23.038377
140,108年01月01日 06時44分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.23407399999999,22.994829
141,108年01月01日 06時50分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,120.29653400000001,22.741953
142,108年01月01日 06時52分00秒,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車,120.2155,22.90563
143,108年01月01日 06時53分00秒,死亡0;受傷1,計程車-小客車;行人-人,120.53763400000001,24.093536
144,108年01月01日 06時55分00秒,死亡0;受傷2,計程車-小客車;乘客-人;乘客-人;乘客-人,121.527483,25.090019
145,108年01月01日 06時59分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.467001,22.622706
146,108年01月01日 07時00分00秒,死亡0;受傷1,普通重型-機車;行人-人,121.767131,24.676196
147,108年01月01日 07時00分43秒,死亡0;受傷1,自用-小客車;自用-小客車,121.008241,24.870164000000003
148,108年01月01日 07時05分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.291945,22.651221
149,108年01月01日 07時05分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.295778,22.637994
150,108年01月01日 07時05分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.71135500000001,24.172197
151,108年01月01日 07時06分00秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.324357,22.859561
152,108年01月01日 07時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.149819,22.75515
153,108年01月01日 07時10分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.71963000000001,25.129176
154,108年01月01日 07時10分00秒,死亡0;受傷1,普通重型-機車,120.344807,22.574629
155,108年01月01日 07時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.450877,23.498293
156,108年01月01日 07時13分00秒,死亡0;受傷1,自用-小客車;行人-人,121.48603100000001,25.019993
157,108年01月01日 07時14分39秒,死亡0;受傷1,普通輕型-機車;自用-小客車,120.412521,23.349947
158,108年01月01日 07時18分00秒,死亡0;受傷1,普通重型-機車,121.45988500000001,25.135701
159,108年01月01日 07時20分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.27178400000001,22.761434
160,108年01月01日 07時20分19秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.21208700000001,23.013467000000002
161,108年01月01日 07時23分00秒,死亡0;受傷1,自用-小客車;普通輕型-機車,121.46185,25.147436
162,108年01月01日 07時23分02秒,死亡0;受傷1,普通重型-機車,120.81216599999999,24.030523000000002
